2023-11-17 12:47:02,414 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-11-17 12:47:05,618 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [2] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_telecom.xml
2023-11-17 12:47:05,619 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [39] Services from file:/D:/ofbiz/ofbiz-framework/framework/service/servicedef/services_test_se.xml
2023-11-17 12:47:05,624 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [68] Services from file:/D:/ofbiz/ofbiz-framework/framework/entityext/servicedef/services.xml
2023-11-17 12:47:05,634 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [6] Services from file:/D:/ofbiz/ofbiz-framework/framework/entityext/servicedef/services_group.xml
2023-11-17 12:47:05,636 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [3] Services from file:/D:/ofbiz/ofbiz-framework/framework/entityext/servicedef/services_synchronization.xml
2023-11-17 12:47:05,637 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [28] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_test.xml
2023-11-17 12:47:05,639 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [128] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services.xml
2023-11-17 12:47:05,643 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [34] Services from file:/D:/ofbiz/ofbiz-framework/framework/service/servicedef/services.xml
2023-11-17 12:47:05,652 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [10] Services from file:/D:/ofbiz/ofbiz-framework/framework/webtools/servicedef/services.xml
2023-11-17 12:47:05,657 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [3] Services from file:/D:/ofbiz/ofbiz-framework/framework/entityext/servicedef/services_tenant.xml
2023-11-17 12:47:05,670 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/applications/securityext/servicedef/services.xml
2023-11-17 12:47:05,676 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [18] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services_agreement.xml
2023-11-17 12:47:05,686 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [3] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services_communication.xml
2023-11-17 12:47:05,689 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [15] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services_view.xml
2023-11-17 12:47:05,720 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/framework/testtools/servicedef/services.xml
2023-11-17 12:47:05,722 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [24] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services_party.xml
2023-11-17 12:47:05,738 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [35] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_contenttypes.xml
2023-11-17 12:47:05,748 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [12] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_document.xml
2023-11-17 12:47:05,756 |kJoinPool-1-worker-6 |ModelService                  |W| DEPRECATED: the service checkContentPermission has been deprecated and replaced by genericContentPermission, since Release 22.01
2023-11-17 12:47:05,757 |kJoinPool-1-worker-6 |ModelService                  |W| DEPRECATED: the service checkAssocPermission has been deprecated and replaced by genericContentPermission, since Release 22.01
2023-11-17 12:47:05,757 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [22] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services_contact.xml
2023-11-17 12:47:05,758 |kJoinPool-1-worker-6 |ModelService                  |W| DEPRECATED: the service assocContent has been deprecated and replaced by genericContentPermission, since Release 22.01
2023-11-17 12:47:05,761 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [57] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_content.xml
2023-11-17 12:47:05,763 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_ftp.xml
2023-11-17 12:47:05,770 |kJoinPool-1-worker-7 |ModelService                  |W| DEPRECATED: the service lookupParty has been deprecated and replaced by performFindParty, since Upcoming Branch because '
            use performFindParty to realize your search, the service lookupParty is inconsistent
            and need to replace by appropriate service
        '
2023-11-17 12:47:05,772 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [39] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_data.xml
2023-11-17 12:47:05,774 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [8] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_commevent.xml
2023-11-17 12:47:05,778 |kJoinPool-1-worker-3 |ModelService                  |W| DEPRECATED: the service getPublicForumMessage has been deprecated and replaced by getContentAndDataResource, since Release 22.01
2023-11-17 12:47:05,786 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [36] Services from file:/D:/ofbiz/ofbiz-framework/applications/workeffort/servicedef/services_workeffort.xml
2023-11-17 12:47:05,790 |kJoinPool-1-worker-3 |ModelService                  |W| DEPRECATED: the service resequence has been deprecated and replaced by resequenceContentAssocChildren, since release22.01
2023-11-17 12:47:05,791 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [42] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_survey.xml
2023-11-17 12:47:05,794 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [75] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services.xml
2023-11-17 12:47:05,806 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [175] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services.xml
2023-11-17 12:47:05,807 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [2] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_output.xml
2023-11-17 12:47:05,829 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [19] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_website.xml
2023-11-17 12:47:05,832 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [110] Services from file:/D:/ofbiz/ofbiz-framework/applications/workeffort/servicedef/services.xml
2023-11-17 12:47:05,837 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_migration.xml
2023-11-17 12:47:05,840 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [20] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_maint.xml
2023-11-17 12:47:05,849 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [12] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_price.xml
2023-11-17 12:47:05,853 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [12] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_inventory.xml
2023-11-17 12:47:05,878 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [75] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_pricepromo.xml
2023-11-17 12:47:05,879 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [3] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_shipment_dhl.xml
2023-11-17 12:47:05,884 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [132] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_facility.xml
2023-11-17 12:47:05,887 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [36] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_feature.xml
2023-11-17 12:47:05,887 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [21] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_shipmentgateway.xml
2023-11-17 12:47:05,894 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [2] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_shipment_fedex.xml
2023-11-17 12:47:05,899 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [9] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_shipment_ups.xml
2023-11-17 12:47:05,901 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [10] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_shipment_usps.xml
2023-11-17 12:47:05,904 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [54] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_store.xml
2023-11-17 12:47:05,907 |main                 |EntityDataLoadContainer       |I| =-=-=-=-=-=-= Doing a data load using delegator 'default' with the following files:
2023-11-17 12:47:05,923 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/security/data/SecurityPermissionSeedData.xml
2023-11-17 12:47:05,923 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/CommonSecurityPermissionSeedData.xml
2023-11-17 12:47:05,923 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/CommonTypeData.xml
2023-11-17 12:47:05,923 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/CurrencyData.xml
2023-11-17 12:47:05,923 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/CountryCodeData.xml
2023-11-17 12:47:05,924 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData.xml
2023-11-17 12:47:05,924 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_AU.xml
2023-11-17 12:47:05,924 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_BG.xml
2023-11-17 12:47:05,924 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_BR.xml
2023-11-17 12:47:05,924 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_CA.xml
2023-11-17 12:47:05,924 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_CH.xml
2023-11-17 12:47:05,924 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_CN.xml
2023-11-17 12:47:05,924 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_CO.xml
2023-11-17 12:47:05,924 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_CR.xml
2023-11-17 12:47:05,925 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_DE.xml
2023-11-17 12:47:05,925 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_ES.xml
2023-11-17 12:47:05,925 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_FR.xml
2023-11-17 12:47:05,925 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_GT.xml
2023-11-17 12:47:05,925 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_HN.xml
2023-11-17 12:47:05,925 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_IE.xml
2023-11-17 12:47:05,925 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_IL.xml
2023-11-17 12:47:05,925 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_IN.xml
2023-11-17 12:47:05,925 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_IT.xml
2023-11-17 12:47:05,926 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_JP.xml
2023-11-17 12:47:05,926 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_MX.xml
2023-11-17 12:47:05,926 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_MY.xml
2023-11-17 12:47:05,926 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_NI.xml
2023-11-17 12:47:05,926 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_NL.xml
2023-11-17 12:47:05,926 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_NZ.xml
2023-11-17 12:47:05,926 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_PL.xml
2023-11-17 12:47:05,926 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_SV.xml
2023-11-17 12:47:05,926 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_TH.xml
2023-11-17 12:47:05,926 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_UK.xml
2023-11-17 12:47:05,927 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/GeoData_US.xml
2023-11-17 12:47:05,927 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/LanguageData.xml
2023-11-17 12:47:05,927 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/UnitData.xml
2023-11-17 12:47:05,927 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/PeriodData.xml
2023-11-17 12:47:05,927 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/common/data/CommonPortletData.xml
2023-11-17 12:47:05,927 |main                 |EntityDataLoadContainer       |I| file:/D:/ofbiz/ofbiz-framework/framework/service/data/ScheduledServiceData.xml
